Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
12.11,-264.87,132.44,-32.04,27.5,-76.9,-13.32,-19.96,-2.48
11.74,-353.72,125.25,-56.56,25.5,-75.49,-10.03,-20.12,-2.19
11.34,-413.88,111.4,-73.23,22.4,-74.69,-8.16,-20.19,-2.08
10.6,-440.08,103.3,-80.57,20.22,-64.53,-7.61,-17.66,-2.04
8.91,-486.97,94,-93.67,19.04,-51.96,-7.86,-14.39,-1.86
8.03,-567.22,75.57,-117.28,15.53,-49.34,-9.69,-13.97,-1.98
6.66,-641.36,61.31,-139.32,12.45,-58.01,-10.82,-16.81,-2.12
5.26,-673.43,43.52,-149.38,9.32,-62.39,-13.25,-18.39,-2.5
1.6,-630.13,30.09,-137.11,7.05,-39.91,-13.99,-12.07,-2.68
-5.94,-543.82,42.29,-112.58,9.6,4.94,-7.73,0.93,-1.38
-11.23,-446.09,70.7,-84.78,14.96,51.04,3.89,14.33,0.9
-15.09,-367.71,101.66,-62.62,21.37,78.51,17.94,22.32,3.59
-16.17,-298.66,113.76,-43.24,23.69,82.78,25.05,23.49,4.92
-16.14,-239.49,64.38,-26.72,16.37,74.38,11.17,21.02,2.65
-15.94,-155.22,7.95,-3.79,7.92,69.67,-13.85,19.46,-1.48
-16.54,85.91,-43.34,58.03,0.26,103.77,-37.24,27.76,-5.38
-16.77,560.79,-62.21,170.63,-2.06,203.5,-43.73,51.03,-6.36
-16.31,1071.72,-80.65,280.08,-4.33,333.71,-33.86,78.77,-4.75
-15.71,1392.62,-106.64,339.03,-8.46,409.04,-24.52,90.96,-3.35
-15.54,1669.66,-123.2,387.73,-10.6,401.77,-18.3,83.16,-2.42
-15.74,1955.9,-110.23,437.65,-8.28,341.31,-11.75,64.66,-1.48
-16.03,2338.29,-87.07,502.93,-3.81,312.69,0.5,55,0.52
-16.34,2767.49,-70.11,571.99,-0.85,345.69,13.11,58.8,2.61
-16.66,3122.33,-22.15,627.68,7.08,376.76,26.49,62.31,4.7
-16,3329.37,58.49,660.95,20.22,359.68,42.65,58.28,7.24
-15.54,3477.29,124.91,684.16,31.48,292.11,57.88,46.57,9.65
-15.14,3606.63,146.85,703.42,34.49,212.8,60.94,33.61,10.03
-14.63,3709.22,151.23,719.1,35,155.67,46.54,24.42,7.57
-14.29,3810.62,162.28,733.14,37.25,130.92,26.53,20,4.33
-12.43,3803.05,174.2,733.08,39.82,97.78,14.62,14.98,2.53
-9.34,3716.27,191.74,721.99,42.13,44.06,14.57,7.46,2.62
-2.69,3256.35,254.54,659.29,51.23,-87.19,27.02,-10.68,4.36
11.74,2127.26,369.06,485.25,66.9,-379.45,53,-54.65,7.73
18.91,977.02,476.36,271.64,78.93,-714.27,82.06,-113.95,11
22.2,433.94,538.4,154.87,82.7,-877.13,95.75,-150.58,11.62
22.26,239.67,546.74,110.51,81.72,-767.58,79.89,-141.55,8.45
21.66,155.7,540.23,90.64,80.66,-464.13,45.95,-93.99,3.82
20.97,142.47,510.56,87.4,77.36,-191.12,11.76,-42.27,0.28
20.34,103.74,477.31,77.95,73.83,-72.18,-11.13,-16.68,-1.42
19.31,15.23,444.32,56.24,69.81,-46.52,-22.12,-11.11,-2.28
