Flow,Time
-26.133000000000003,978.499
-26.033,978.4995
-25.933000000000003,978.5
-25.866999999999997,978.5005
-25.833000000000002,978.5009
-25.833000000000002,978.5014
-25.833000000000002,978.5019
-26.0,978.5024
-26.1,978.5029
-26.2,978.5034
-26.233,978.5039
-26.2,978.5044
-26.233,978.5049
-26.2,978.5053
-26.1,978.5058
-25.967,978.5063
-25.9,978.5068
-25.833000000000002,978.5073
-25.833000000000002,978.5078
-25.9,978.5083
-25.866999999999997,978.5088
-25.8,978.5092
-25.866999999999997,978.5097
-25.967,978.5102
-26.066999999999997,978.5107
-26.066999999999997,978.5112
-26.033,978.5117
-25.9,978.5122
-25.967,978.5127
-25.967,978.5131
-25.9,978.5136
-25.767,978.5141
-25.633000000000003,978.5146
-25.467,978.5151
-25.433000000000003,978.5156
-25.366999999999997,978.5161
-25.166999999999998,978.5166
-25.033,978.5171
-25.066999999999997,978.5175
-25.166999999999998,978.518
-25.233,978.5185
-25.533,978.519
-25.733,978.5195
-25.8,978.52
-25.866999999999997,978.5205
-25.8,978.521
-25.666999999999998,978.5214
-25.633000000000003,978.5219
-25.566999999999997,978.5224
-25.666999999999998,978.5229
-25.866999999999997,978.5234
-25.9,978.5239
-25.7,978.5244
-25.467,978.5249
-25.233,978.5254
-25.066999999999997,978.5258
-25.066999999999997,978.5263
-25.133000000000003,978.5268
-25.233,978.5273
-25.333000000000002,978.5278
-25.467,978.5283
-25.533,978.5288
-25.566999999999997,978.5293
-25.5,978.5297
-25.333000000000002,978.5302
-25.133000000000003,978.5307
-25.066999999999997,978.5312
-25.033,978.5317
-24.866999999999997,978.5322
-24.833000000000002,978.5327
-24.866999999999997,978.5332
-24.933000000000003,978.5337
-25.033,978.5341
-25.1,978.5346
-25.033,978.5351
-24.9,978.5356
-24.8,978.5361
-24.666999999999998,978.5366
-24.6,978.5371
-24.633000000000003,978.5376
-24.633000000000003,978.538
-24.6,978.5385
-24.467,978.539
-24.4,978.5395
-24.366999999999997,978.54
-24.433000000000003,978.5405
-24.666999999999998,978.541
-24.666999999999998,978.5415
-24.6,978.5418999999999
-24.633000000000003,978.5424
-24.6,978.5429
-24.566999999999997,978.5434
-24.5,978.5439
-24.633000000000003,978.5444
-24.9,978.5449
-25.066999999999997,978.5454
-25.166999999999998,978.5459
-25.333000000000002,978.5463
-25.5,978.5468
-25.5,978.5473
-25.5,978.5478
-25.433000000000003,978.5483
-25.366999999999997,978.5488
-25.3,978.5493
-25.166999999999998,978.5498
-25.066999999999997,978.5502
-23.666999999999998,978.5507
-23.5,978.5512
-23.4,978.5517
-23.333000000000002,978.5522
-23.2,978.5527
-23.233,978.5532
-23.333000000000002,978.5537
-23.333000000000002,978.5542
-23.433000000000003,978.5547
-23.533,978.5552
-23.633000000000003,978.5557
-23.733,978.5562
-23.733,978.5567
-23.7,978.5572
-23.7,978.5577
-23.8,978.5581999999999
-23.9,978.5587
-23.9,978.5592
-23.8,978.5597
-23.8,978.5602
-23.8,978.5606
-23.8,978.5611
-23.733,978.5616
-23.7,978.5621
-23.7,978.5626
-23.633000000000003,978.5631
-23.566999999999997,978.5636
-23.6,978.5641
-23.5,978.5646
-23.333000000000002,978.5651
-23.2,978.5656
-23.066999999999997,978.5661
-23.066999999999997,978.5666
-23.1,978.5671
-23.333000000000002,978.5676
-23.5,978.5681
-23.666999999999998,978.5686
-23.767,978.5691
-23.833000000000002,978.5696
-24.033,978.5701
-24.1,978.5706
-24.133000000000003,978.571
-24.2,978.5715
-24.3,978.572
-24.3,978.5725
-24.2,978.573
-24.066999999999997,978.5735
-24.0,978.574
-24.033,978.5745
-24.1,978.575
-24.066999999999997,978.5755
-23.933000000000003,978.576
-23.933000000000003,978.5765
-23.933000000000003,978.577
-24.066999999999997,978.5775
-24.166999999999998,978.578
-24.2,978.5785
-24.0,978.579
-23.8,978.5795
-23.733,978.58
-23.733,978.5805
-23.733,978.5809
-23.7,978.5814
-23.666999999999998,978.5819
-23.633000000000003,978.5824
-23.7,978.5829
-23.633000000000003,978.5834
-23.5,978.5839
-23.467,978.5844
-23.533,978.5849
-23.533,978.5854
-23.566999999999997,978.5859
-23.533,978.5864
-23.533,978.5869
-23.5,978.5874
-23.333000000000002,978.5879
-23.233,978.5884
-23.267,978.5889
-23.333000000000002,978.5894
-23.366999999999997,978.5899
-23.433000000000003,978.5904
-23.467,978.5909
-23.6,978.5913
-23.7,978.5918
-23.733,978.5923
-23.733,978.5928
-23.666999999999998,978.5933
-23.566999999999997,978.5938
-23.433000000000003,978.5943
-23.433000000000003,978.5948
-23.433000000000003,978.5953
-23.4,978.5958
-23.233,978.5963
-23.1,978.5968
-23.1,978.5973
-23.133000000000003,978.5978
-23.1,978.5983
-23.1,978.5988
-23.1,978.5993
-23.133000000000003,978.5998
-23.133000000000003,978.6003
-23.1,978.6008
-23.0,978.6013
-22.866999999999997,978.6017
-22.833000000000002,978.6022
-22.866999999999997,978.6027
-22.833000000000002,978.6032
-22.733,978.6037
-22.733,978.6042
-22.767,978.6047
-22.866999999999997,978.6052
-23.033,978.6057
-23.166999999999998,978.6062
-23.366999999999997,978.6067
-23.366999999999997,978.6072
-23.366999999999997,978.6077
-23.366999999999997,978.6082
-23.3,978.6087
-23.366999999999997,978.6092
-23.467,978.6097
-23.467,978.6102
-23.467,978.6107
-23.533,978.6112
-23.7,978.6117
-23.967,978.6121
-24.366999999999997,978.6126
-24.666999999999998,978.6131
-23.467,978.6136
-23.533,978.6141
-23.533,978.6146
-23.733,978.6151
-23.866999999999997,978.6156
-24.1,978.6161
-24.233,978.6166
-24.3,978.617
-24.333000000000002,978.6175
-24.467,978.618
-24.4,978.6185
-24.333000000000002,978.619
-24.166999999999998,978.6195
-24.066999999999997,978.62
-23.933000000000003,978.6205
-24.033,978.621
-24.267,978.6214
-24.366999999999997,978.6219
-24.366999999999997,978.6224
-24.4,978.6229
-24.433000000000003,978.6234
-24.467,978.6239
-24.6,978.6244
-24.767,978.6249
-24.8,978.6253
-24.733,978.6258
-24.767,978.6263
-24.8,978.6268
-24.7,978.6273
-24.633000000000003,978.6278
-24.767,978.6283
-24.9,978.6288
-25.1,978.6292
-25.333000000000002,978.6297
-25.3,978.6302
-25.133000000000003,978.6307
-24.833000000000002,978.6312
-24.7,978.6317
-24.666999999999998,978.6322
-24.633000000000003,978.6327
-24.633000000000003,978.6331
-24.6,978.6336
-24.6,978.6341
-24.566999999999997,978.6346
-24.5,978.6351
-24.3,978.6356
-24.333000000000002,978.6360999999999
-24.467,978.6366
-24.467,978.637
-24.366999999999997,978.6375
-24.133000000000003,978.638
-23.833000000000002,978.6385
-23.566999999999997,978.639
-23.333000000000002,978.6395
-23.2,978.64
-23.133000000000003,978.6405
-23.133000000000003,978.641
-23.3,978.6414
-23.333000000000002,978.6419
-23.333000000000002,978.6424
-23.267,978.6429
-23.2,978.6434
-23.033,978.6439
-22.933000000000003,978.6444
-22.767,978.6449
-22.633000000000003,978.6453
-22.467,978.6458
-22.333000000000002,978.6463
-22.2,978.6468
-22.1,978.6473
-22.0,978.6478
-21.9,978.6483
-21.8,978.6488
-21.767,978.6492
-21.767,978.6497
-21.833000000000002,978.6502
-21.9,978.6507
-21.9,978.6512
-21.9,978.6517
-21.833000000000002,978.6522
-21.666999999999998,978.6527
-21.4,978.6531
-21.0,978.6536
-20.633000000000003,978.6541
-20.4,978.6546
-20.3,978.6551
-20.233,978.6556
-20.133,978.6561
-19.967,978.6566
-19.767,978.657
-19.567,978.6575
-19.533,978.658
-19.467,978.6585
-19.433,978.659
-19.467,978.6595
-19.367,978.66
-19.4,978.6605
-19.433,978.6610000000001
-19.367,978.6614
-19.233,978.6619
-19.0,978.6624
-18.833,978.6629
-18.567,978.6634
-18.433,978.6639
-18.3,978.6644
-18.267,978.6649
-18.167,978.6653
-18.033,978.6658
-17.867,978.6663
-17.7,978.6668
-17.5,978.6673
-17.3,978.6677999999999
-17.133,978.6683
-17.0,978.6688
-16.9,978.6692
-16.833,978.6697
-16.767,978.6702
-16.7,978.6707
-16.667,978.6712
-16.6,978.6717
-16.5,978.6722
-16.467,978.6727
-16.467,978.6731
-16.5,978.6736
-16.5,978.6741
-16.467,978.6746
-16.433,978.6751
-15.567,978.6756
-15.5,978.6761
-15.433,978.6766
-15.333,978.6771
-15.333,978.6776
-15.267000000000001,978.6781
-15.2,978.6786
-15.2,978.6791
-15.167,978.6796
-15.1,978.6801
-15.1,978.6806
-15.033,978.6811
-14.967,978.6815
-14.867,978.682
-14.767000000000001,978.6825
-14.7,978.683
-14.667,978.6835
-14.633,978.684
-14.633,978.6845
-14.7,978.685
-14.732999999999999,978.6855
-14.767000000000001,978.686
-14.8,978.6865
-14.767000000000001,978.687
-14.767000000000001,978.6875
-14.767000000000001,978.688
-14.7,978.6885
-14.7,978.689
-14.667,978.6895
-14.633,978.69
-14.567,978.6905
-14.5,978.691
-14.467,978.6915
-14.467,978.692
-14.4,978.6925
-14.4,978.693
-14.367,978.6935
-14.333,978.694
-14.367,978.6945
-14.367,978.6949
-14.433,978.6954
-14.467,978.6959
-14.5,978.6964
-14.6,978.6969
-14.667,978.6974
-14.7,978.6979
-14.732999999999999,978.6984
-14.767000000000001,978.6989
-14.9,978.6994
-15.0,978.6999
-15.133,978.7004
-15.2,978.7009
-15.3,978.7014
-15.433,978.7019
-15.533,978.7024
-15.633,978.7029
-15.7,978.7034
-15.7,978.7039
-15.732999999999999,978.7044
-15.732999999999999,978.7049
-15.767000000000001,978.7054
-15.767000000000001,978.7059
-15.732999999999999,978.7064
-15.633,978.7069
-15.533,978.7074
-15.533,978.7079
-15.567,978.7083
-15.567,978.7088
-15.6,978.7093
-15.7,978.7098
-15.767000000000001,978.7103
-15.833,978.7108
-15.933,978.7113
-16.0,978.7118
-16.033,978.7123
-16.1,978.7128
-16.133,978.7133
-16.2,978.7138
-16.267,978.7143
-16.367,978.7148
-16.467,978.7153
-16.533,978.7158
-16.6,978.7163
-16.767,978.7168
-16.833,978.7173
-16.933,978.7178
-17.0,978.7183
-17.033,978.7188
-17.0,978.7193
-16.967,978.7198
-17.0,978.7203
-17.1,978.7208
-17.267,978.7213
-17.367,978.7217
-17.467,978.7222
-17.5,978.7227
-17.433,978.7232
-17.4,978.7237
-17.433,978.7242
-17.467,978.7247
-17.5,978.7252
-17.5,978.7257
-17.433,978.7262
-17.333,978.7267
-17.267,978.7272
-17.2,978.7277
-17.167,978.7282
-17.167,978.7287
-17.133,978.7292
-17.133,978.7297
-17.133,978.7302
-17.133,978.7307
-17.1,978.7312
